anyo,d_comarca,c_comarca,pob_ext,pob_nac
2004,LA JACETANIA,1,963,16992
2004,ALTO GÁLLEGO,2,551,12198
2004,SOBRARBE,3,269,6684
2004,LA RIBAGORZA,4,846,11703
2004,CINCO VILLAS,5,2209,30820
2004,HOYA DE HUESCA/PLANA DE UESCA,6,2913,59504
2004,SOMONTANO DE BARBASTRO,7,1132,22083
2004,CINCA MEDIO,8,1631,20978
2004,LA LITERA/LA LLITERA,9,1213,17517
2004,LOS MONEGROS,10,721,20150
2004,BAJO CINCA/BAIX CINCA,11,1820,21251
2004,TARAZONA Y EL MONCAYO,12,560,13822
2004,CAMPO DE BORJA,13,768,13562
2004,ARANDA,14,372,7620
2004,RIBERA ALTA DEL EBRO,15,932,22622
2004,VALDEJALÓN,16,2740,22437
2004,D.C. ZARAGOZA,17,44566,641307
2004,RIBERA BAJA DEL EBRO,18,234,8996
2004,BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,19,660,12235
2004,COMUNIDAD DE CALATAYUD,20,3293,37271
2004,CAMPO DE CARIÑENA,21,1471,9248
2004,CAMPO DE BELCHITE,22,111,5170
2004,BAJO MARTÍN,23,271,7003
2004,CAMPO DE DAROCA,24,142,6297
2004,JILOCA,25,700,13061
2004,CUENCAS MINERAS,26,429,8977
2004,ANDORRA-SIERRA DE ARCOS,27,442,10697
2004,BAJO ARAGÓN,28,2240,25897
2004,COMUNIDAD DE TERUEL,29,1772,42369
2004,MAESTRAZGO,30,252,3497
2004,SIERRA DE ALBARRACÍN,31,199,4722
2004,GÚDAR-JAVALAMBRE,32,646,7498
2004,MATARRAÑA/MATARRANYA,33,477,8184
2005,LA JACETANIA,1,1250,16680
2005,ALTO GÁLLEGO,2,881,12240
2005,SOBRARBE,3,386,6765
2005,LA RIBAGORZA,4,1049,11656
2005,CINCO VILLAS,5,2731,30630
2005,HOYA DE HUESCA/PLANA DE UESCA,6,3756,59678
2005,SOMONTANO DE BARBASTRO,7,1382,22029
2005,CINCA MEDIO,8,1991,20945
2005,LA LITERA/LA LLITERA,9,1478,17320
2005,LOS MONEGROS,10,908,19921
2005,BAJO CINCA/BAIX CINCA,11,2268,21178
2005,TARAZONA Y EL MONCAYO,12,627,13840
2005,CAMPO DE BORJA,13,955,13505
2005,ARANDA,14,379,7454
2005,RIBERA ALTA DEL EBRO,15,1244,23110
2005,VALDEJALÓN,16,3307,22777
2005,D.C. ZARAGOZA,17,54927,642605
2005,RIBERA BAJA DEL EBRO,18,315,8908
2005,BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,19,994,12247
2005,COMUNIDAD DE CALATAYUD,20,4121,36906
2005,CAMPO DE CARIÑENA,21,1736,9125
2005,CAMPO DE BELCHITE,22,162,5059
2005,BAJO MARTÍN,23,341,6935
2005,CAMPO DE DAROCA,24,245,6266
2005,JILOCA,25,1044,12896
2005,CUENCAS MINERAS,26,592,8858
2005,ANDORRA-SIERRA DE ARCOS,27,550,10608
2005,BAJO ARAGÓN,28,2768,25954
2005,COMUNIDAD DE TERUEL,29,2364,42442
2005,MAESTRAZGO,30,293,3446
2005,SIERRA DE ALBARRACÍN,31,230,4642
2005,GÚDAR-JAVALAMBRE,32,965,7433
2005,MATARRAÑA/MATARRANYA,33,609,8121
2006,LA JACETANIA,1,1383,16783
2006,ALTO GÁLLEGO,2,1159,12298
2006,SOBRARBE,3,521,6772
2006,LA RIBAGORZA,4,1040,11771
2006,CINCO VILLAS,5,2735,30419
2006,HOYA DE HUESCA/PLANA DE UESCA,6,4511,60020
2006,SOMONTANO DE BARBASTRO,7,1480,21984
2006,CINCA MEDIO,8,2159,20913
2006,LA LITERA/LA LLITERA,9,1653,17194
2006,LOS MONEGROS,10,1093,19803
2006,BAJO CINCA/BAIX CINCA,11,2340,21026
2006,TARAZONA Y EL MONCAYO,12,768,13807
2006,CAMPO DE BORJA,13,1062,13462
2006,ARANDA,14,341,7340
