anyo,d_comarca,c_comarca,pob_ext,pob_nac
2006,RIBERA ALTA DEL EBRO,15,1371,23504
2006,VALDEJALÓN,16,3482,22955
2006,D.C. ZARAGOZA,17,59344,643318
2006,RIBERA BAJA DEL EBRO,18,337,8860
2006,BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,19,1430,12176
2006,COMUNIDAD DE CALATAYUD,20,3727,36600
2006,CAMPO DE CARIÑENA,21,1485,9095
2006,CAMPO DE BELCHITE,22,172,5024
2006,BAJO MARTÍN,23,371,6881
2006,CAMPO DE DAROCA,24,354,6240
2006,JILOCA,25,1202,12770
2006,CUENCAS MINERAS,26,740,8736
2006,ANDORRA-SIERRA DE ARCOS,27,635,10488
2006,BAJO ARAGÓN,28,3127,26001
2006,COMUNIDAD DE TERUEL,29,2946,42367
2006,MAESTRAZGO,30,309,3428
2006,SIERRA DE ALBARRACÍN,31,296,4616
2006,GÚDAR-JAVALAMBRE,32,1162,7412
2006,MATARRAÑA/MATARRANYA,33,626,8047
2007,LA JACETANIA,1,1403,16741
2007,ALTO GÁLLEGO,2,1543,12412
2007,SOBRARBE,3,635,6848
2007,LA RIBAGORZA,4,1238,11715
2007,CINCO VILLAS,5,3031,30165
2007,HOYA DE HUESCA/PLANA DE UESCA,6,5039,60227
2007,SOMONTANO DE BARBASTRO,7,1720,21893
2007,CINCA MEDIO,8,2204,20880
2007,LA LITERA/LA LLITERA,9,1796,17071
2007,LOS MONEGROS,10,1277,19670
2007,BAJO CINCA/BAIX CINCA,11,2846,20799
2007,TARAZONA Y EL MONCAYO,12,880,13810
2007,CAMPO DE BORJA,13,1396,13518
2007,ARANDA,14,411,7216
2007,RIBERA ALTA DEL EBRO,15,1848,23897
2007,VALDEJALÓN,16,4110,23313
2007,D.C. ZARAGOZA,17,70025,644579
2007,RIBERA BAJA DEL EBRO,18,414,8741
2007,BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,19,1468,12107
2007,COMUNIDAD DE CALATAYUD,20,5164,36192
2007,CAMPO DE CARIÑENA,21,1549,9057
2007,CAMPO DE BELCHITE,22,200,5022
2007,BAJO MARTÍN,23,598,6829
2007,CAMPO DE DAROCA,24,349,6190
2007,JILOCA,25,1538,12715
2007,CUENCAS MINERAS,26,807,8689
2007,ANDORRA-SIERRA DE ARCOS,27,905,10407
2007,BAJO ARAGÓN,28,3406,25952
2007,COMUNIDAD DE TERUEL,29,3749,42204
2007,MAESTRAZGO,30,356,3379
2007,SIERRA DE ALBARRACÍN,31,398,4643
2007,GÚDAR-JAVALAMBRE,32,1293,7381
2007,MATARRAÑA/MATARRANYA,33,808,7989
2008,LA JACETANIA,1,1753,16758
2008,ALTO GÁLLEGO,2,2101,12469
2008,SOBRARBE,3,893,6839
2008,LA RIBAGORZA,4,1645,11631
2008,CINCO VILLAS,5,3636,29948
2008,HOYA DE HUESCA/PLANA DE UESCA,6,6229,60564
2008,SOMONTANO DE BARBASTRO,7,2126,21964
2008,CINCA MEDIO,8,2791,20929
2008,LA LITERA/LA LLITERA,9,2164,17002
2008,LOS MONEGROS,10,1681,19557
2008,BAJO CINCA/BAIX CINCA,11,3379,20713
2008,TARAZONA Y EL MONCAYO,12,1096,13651
2008,CAMPO DE BORJA,13,1979,13448
2008,ARANDA,14,488,7143
2008,RIBERA ALTA DEL EBRO,15,2620,24332
2008,VALDEJALÓN,16,5681,23748
2008,D.C. ZARAGOZA,17,85908,645407
2008,RIBERA BAJA DEL EBRO,18,549,8691
2008,BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,19,1869,12071
2008,COMUNIDAD DE CALATAYUD,20,6540,35839
2008,CAMPO DE CARIÑENA,21,2025,8962
2008,CAMPO DE BELCHITE,22,258,5024
2008,BAJO MARTÍN,23,614,6697
2008,CAMPO DE DAROCA,24,438,6055
2008,JILOCA,25,2033,12556
2008,CUENCAS MINERAS,26,902,8484
2008,ANDORRA-SIERRA DE ARCOS,27,1201,10341
2008,BAJO ARAGÓN,28,4125,26021
2008,COMUNIDAD DE TERUEL,29,4846,42115
2008,MAESTRAZGO,30,431,3358
2008,SIERRA DE ALBARRACÍN,31,460,4554
2008,GÚDAR-JAVALAMBRE,32,1463,7229
2008,MATARRAÑA/MATARRANYA,33,968,7926
2009,LA JACETANIA,1,1800,16903
2009,ALTO GÁLLEGO,2,2352,12564
2009,SOBRARBE,3,999,6765
2009,LA RIBAGORZA,4,1855,11477
2009,CINCO VILLAS,5,3926,29654
2009,HOYA DE HUESCA/PLANA DE UESCA,6,7033,60959
2009,SOMONTANO DE BARBASTRO,7,2350,22031
2009,CINCA MEDIO,8,3149,20858
2009,LA LITERA/LA LLITERA,9,2365,16926
2009,LOS MONEGROS,10,1900,19330
2009,BAJO CINCA/BAIX CINCA,11,3997,20666
2009,TARAZONA Y EL MONCAYO,12,1259,13566
2009,CAMPO DE BORJA,13,2157,13464
2009,ARANDA,14,618,7078
2009,RIBERA ALTA DEL EBRO,15,3144,24666
2009,VALDEJALÓN,16,6308,24072
2009,D.C. ZARAGOZA,17,95304,647976
2009,RIBERA BAJA DEL EBRO,18,663,8670
2009,BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,19,2606,12169
2009,COMUNIDAD DE CALATAYUD,20,6907,35412
2009,CAMPO DE CARIÑENA,21,2309,8905
2009,CAMPO DE BELCHITE,22,302,4986
2009,BAJO MARTÍN,23,641,6584
2009,CAMPO DE DAROCA,24,466,5856
2009,JILOCA,25,2085,12357
2009,CUENCAS MINERAS,26,961,8308
2009,ANDORRA-SIERRA DE ARCOS,27,1344,10257
2009,BAJO ARAGÓN,28,4333,26037
2009,COMUNIDAD DE TERUEL,29,5353,42008
2009,MAESTRAZGO,30,460,3320
2009,SIERRA DE ALBARRACÍN,31,467,4501
2009,GÚDAR-JAVALAMBRE,32,1623,7169
2009,MATARRAÑA/MATARRANYA,33,1102,7841
2010,LA JACETANIA,1,1680,16984
2010,ALTO GÁLLEGO,2,2372,12549
2010,SOBRARBE,3,1006,6712
2010,LA RIBAGORZA,4,1948,11525
2010,CINCO VILLAS,5,3956,29375
2010,HOYA DE HUESCA/PLANA DE UESCA,6,7125,61303
2010,SOMONTANO DE BARBASTRO,7,2479,21931
2010,CINCA MEDIO,8,3260,20791
2010,LA LITERA/LA LLITERA,9,2384,16777
2010,LOS MONEGROS,10,1888,19054
2010,BAJO CINCA/BAIX CINCA,11,4161,20509
2010,TARAZONA Y EL MONCAYO,12,1257,13473
2010,CAMPO DE BORJA,13,2202,13315
2010,ARANDA,14,646,6971
2010,RIBERA ALTA DEL EBRO,15,3154,24673
2010,VALDEJALÓN,16,6417,24116
2010,D.C. ZARAGOZA,17,95647,651072
2010,RIBERA BAJA DEL EBRO,18,771,8681
2010,BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,19,2851,12165
2010,COMUNIDAD DE CALATAYUD,20,7105,34908
2010,CAMPO DE CARIÑENA,21,2332,8841
2010,CAMPO DE BELCHITE,22,328,4932
2010,BAJO MARTÍN,23,627,6508
2010,CAMPO DE DAROCA,24,483,5709
2010,JILOCA,25,1923,12219
2010,CUENCAS MINERAS,26,916,8178
2010,ANDORRA-SIERRA DE ARCOS,27,1339,10184
2010,BAJO ARAGÓN,28,4315,25996
2010,COMUNIDAD DE TERUEL,29,4973,41984
2010,MAESTRAZGO,30,421,3261
2010,SIERRA DE ALBARRACÍN,31,460,4470
2010,GÚDAR-JAVALAMBRE,32,1521,7089
2010,MATARRAÑA/MATARRANYA,33,1139,7754
2011,LA JACETANIA,1,1537,17172
2011,ALTO GÁLLEGO,2,2321,12499
2011,SOBRARBE,3,1072,6718
2011,LA RIBAGORZA,4,1924,11471
2011,CINCO VILLAS,5,3933,29217
2011,HOYA DE HUESCA/PLANA DE UESCA,6,7121,61363
2011,SOMONTANO DE BARBASTRO,7,2463,21841
2011,CINCA MEDIO,8,3333,20795
2011,LA LITERA/LA LLITERA,9,2419,16716
2011,LOS MONEGROS,10,1953,18886
2011,BAJO CINCA/BAIX CINCA,11,4220,20389
2011,TARAZONA Y EL MONCAYO,12,1206,13559
2011,CAMPO DE BORJA,13,2168,13278
2011,ARANDA,14,597,6904
2011,RIBERA ALTA DEL EBRO,15,3121,24654
2011,VALDEJALÓN,16,6024,23994
2011,D.C. ZARAGOZA,17,94783,653577
2011,RIBERA BAJA DEL EBRO,18,740,8672
2011,BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,19,2911,12166
2011,COMUNIDAD DE CALATAYUD,20,6396,34617
2011,CAMPO DE CARIÑENA,21,2454,8896
2011,CAMPO DE BELCHITE,22,342,4942
2011,BAJO MARTÍN,23,600,6457
2011,CAMPO DE DAROCA,24,582,5740
2011,JILOCA,25,1914,12023
2011,CUENCAS MINERAS,26,936,8107
2011,ANDORRA-SIERRA DE ARCOS,27,1419,10031
2011,BAJO ARAGÓN,28,4400,25941
2011,COMUNIDAD DE TERUEL,29,4870,41978
2011,MAESTRAZGO,30,429,3241
2011,SIERRA DE ALBARRACÍN,31,466,4515
2011,GÚDAR-JAVALAMBRE,32,1397,7078
2011,MATARRAÑA/MATARRANYA,33,1142,7663
2012,LA JACETANIA,1,1493,17044
2012,ALTO GÁLLEGO,2,2220,12421
2012,SOBRARBE,3,1120,6692
2012,LA RIBAGORZA,4,1913,11269
2012,CINCO VILLAS,5,3911,28750
2012,HOYA DE HUESCA/PLANA DE UESCA,6,6631,61555
2012,SOMONTANO DE BARBASTRO,7,2593,21835
2012,CINCA MEDIO,8,3436,20709
2012,LA LITERA/LA LLITERA,9,2374,16587
2012,LOS MONEGROS,10,2033,18600
2012,BAJO CINCA/BAIX CINCA,11,4599,20229
2012,TARAZONA Y EL MONCAYO,12,1223,13443
2012,CAMPO DE BORJA,13,2222,13149
2012,ARANDA,14,636,6776
2012,RIBERA ALTA DEL EBRO,15,3181,24732
2012,VALDEJALÓN,16,6221,23509
2012,D.C. ZARAGOZA,17,95618,659262
2012,RIBERA BAJA DEL EBRO,18,754,8595
2012,BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,19,3053,11986
2012,COMUNIDAD DE CALATAYUD,20,6707,34192
2012,CAMPO DE CARIÑENA,21,2370,8689
2012,CAMPO DE BELCHITE,22,352,4836
2012,BAJO MARTÍN,23,613,6329
2012,CAMPO DE DAROCA,24,653,5566
2012,JILOCA,25,1858,11839
2012,CUENCAS MINERAS,26,946,7948
2012,ANDORRA-SIERRA DE ARCOS,27,1430,9869
2012,BAJO ARAGÓN,28,4312,25768
2012,COMUNIDAD DE TERUEL,29,5231,41992
2012,MAESTRAZGO,30,433,3169
2012,SIERRA DE ALBARRACÍN,31,457,4473
2012,GÚDAR-JAVALAMBRE,32,1348,6980
2012,MATARRAÑA/MATARRANYA,33,1170,7563
2013,LA JACETANIA,1,1380,17041
2013,ALTO GÁLLEGO,2,2144,12303
2013,SOBRARBE,3,1096,6625
2013,LA RIBAGORZA,4,1898,11044
2013,CINCO VILLAS,5,3695,28379
2013,HOYA DE HUESCA/PLANA DE UESCA,6,6532,61748
2013,SOMONTANO DE BARBASTRO,7,2363,21748
2013,CINCA MEDIO,8,3540,20676
2013,LA LITERA/LA LLITERA,9,2329,16485
2013,LOS MONEGROS,10,1969,18203
2013,BAJO CINCA/BAIX CINCA,11,4791,20009
2013,TARAZONA Y EL MONCAYO,12,1168,13303
2013,CAMPO DE BORJA,13,2030,12941
2013,ARANDA,14,591,6677
2013,RIBERA ALTA DEL EBRO,15,3013,24752
2013,VALDEJALÓN,16,6293,23236
2013,D.C. ZARAGOZA,17,97766,660614
2013,RIBERA BAJA DEL EBRO,18,722,8501
2013,BAJO ARAGÓN-CASPE/BAIX ARAGÓ-CASP,19,3052,11956
2013,COMUNIDAD DE CALATAYUD,20,6711,33622
2013,CAMPO DE CARIÑENA,21,2250,8552
2013,CAMPO DE BELCHITE,22,347,4746
2013,BAJO MARTÍN,23,568,6200
2013,CAMPO DE DAROCA,24,680,5446
2013,JILOCA,25,1777,11658
2013,CUENCAS MINERAS,26,980,7855
2013,ANDORRA-SIERRA DE ARCOS,27,1378,9735
2013,BAJO ARAGÓN,28,4263,25612
2013,COMUNIDAD DE TERUEL,29,5192,41993
2013,MAESTRAZGO,30,389,3075
2013,SIERRA DE ALBARRACÍN,31,375,4408
2013,GÚDAR-JAVALAMBRE,32,1241,6854
2013,MATARRAÑA/MATARRANYA,33,1130,7500
